site,X,Y,omegaX,omegaY
MBR,139.275119,-35.113116,-0.00248219,0.00411589
MDC,141.907139,-34.111058,-0.00285323,0.00553168
GGL,142.221859,-34.181098,-0.00276635,0.00554766
WAK,145.026827,-36.13992,0.01186776,-0.0143801
BEN,145.861702,-36.461416,0.00985654,-0.00963463
BOG,146.341195,-29.971479,-0.00238568,0.00499979
PEL,150.529207,-30.933496,-0.00121185,0.00181171
GWY,150.565567,-29.864502,-0.00082387,0.00260956
DUM,151.155138,-28.865234,0.00131875,0.00156206
MIB,151.087123,-28.41138,0.00049608,0.00203237
STG,151.344566,-28.12517,0.00348932,0.0000782
OAK,151.454601,-27.326711,-0.36762025,0.26552485
WAR,152.02485,-28.209405,0.42484894,0.15823837
KIL,152.23772,-28.293309,-0.07173395,-0.42803741